# Live2D Animator Motion Data
$fps=30

$fadein=1000

$fadeout=1000

ALL_RO=0,-0.13,-0.25,-0.36,-0.46,-0.56,-0.64,-0.72,-0.78,-0.84,-0.89,-0.93,-0.96,-0.98,-0.996,-1,-0.999,-0.997,-0.993,-0.989,-0.982,-0.975,-0.965,-0.955,-0.944,-0.931,-0.918,-0.903,-0.887,-0.87,-0.852,-0.833,-0.813,-0.792,-0.77,-0.75,-0.72,-0.7,-0.67,-0.65,-0.62,-0.6,-0.57,-0.54,-0.51,-0.48,-0.45,-0.42,-0.39,-0.36,-0.33,-0.3,-0.26,-0.23,-0.2,-0.17,-0.13,-0.1,-0.07,-0.03,0,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.39,0.42,0.45,0.48,0.51,0.54,0.57,0.6,0.62,0.65,0.67,0.7,0.72,0.75,0.77,0.79,0.813,0.833,0.852,0.87,0.887,0.903,0.918,0.931,0.944,0.955,0.965,0.975,0.982,0.989,0.993,0.997,0.999,1,0.996,0.982,0.96,0.93,0.89,0.84,0.78,0.72,0.64,0.56,0.46,0.36,0.25,0.13
MAIN_X=0,0.05,0.19,0.42,0.73,1.12,1.56,2.07,2.63,3.24,3.88,4.57,5.28,6.01,6.75,7.5,8.25,8.99,9.72,10.43,11.12,11.76,12.37,12.93,13.44,13.88,14.27,14.58,14.81,14.95,15,14.95,14.81,14.58,14.27,13.88,13.44,12.93,12.37,11.76,11.12,10.43,9.72,8.99,8.25,7.5,6.75,6.01,5.28,4.57,3.88,3.24,2.63,2.07,1.56,1.12,0.73,0.42,0.19,0.05,0,0.05,0.2,0.45,0.78,1.19,1.67,2.21,2.81,3.45,4.14,4.88,5.63,6.42,7.2,8,8.8,9.58,10.37,11.12,11.86,12.55,13.19,13.79,14.33,14.81,15.22,15.55,15.8,15.95,16,15.95,15.8,15.55,15.22,14.81,14.33,13.79,13.19,12.55,11.86,11.12,10.37,9.58,8.8,8,7.2,6.42,5.63,4.88,4.14,3.45,2.81,2.21,1.67,1.19,0.78,0.45,0.2,0.05
MAIN_Y=30,29.991,29.96,29.91,29.84,29.75,29.63,29.48,29.31,29.1,28.86,28.59,28.29,27.94,27.56,27.14,26.68,26.18,25.63,25.03,24.38,23.7,22.96,22.16,21.32,20.42,19.45,18.43,17.34,16.2,15,13.77,12.53,11.29,10.07,8.84,7.64,6.46,5.29,4.15,3.03,1.92,0.85,-0.19,-1.19,-2.14,-3.06,-3.93,-4.77,-5.54,-6.28,-6.94,-7.55,-8.1,-8.59,-9,-9.36,-9.63,-9.84,-9.96,-10,-9.989,-9.95,-9.9,-9.81,-9.7,-9.56,-9.39,-9.18,-8.95,-8.68,-8.37,-8.03,-7.65,-7.23,-6.77,-6.27,-5.72,-5.13,-4.49,-3.79,-3.06,-2.28,-1.44,-0.55,0.39,1.4,2.46,3.59,4.76,6,7.26,8.51,9.77,10.99,12.21,13.39,14.55,15.68,16.79,17.87,18.93,19.94,20.93,21.87,22.77,23.63,24.44,25.22,25.93,26.61,27.22,27.78,28.28,28.72,29.1,29.42,29.67,29.85,29.96
FACE_X=0,-1.96,-3.85,-5.71,-7.46,-9.18,-10.81,-12.37,-13.86,-15.29,-16.65,-17.97,-19.2,-20.38,-21.47,-22.5,-23.46,-24.36,-25.2,-25.97,-26.67,-27.3,-27.87,-28.37,-28.8,-29.16,-29.47,-29.7,-29.87,-29.97,-30,-29.97,-29.87,-29.7,-29.47,-29.16,-28.8,-28.37,-27.87,-27.3,-26.67,-25.97,-25.2,-24.36,-23.46,-22.5,-21.47,-20.38,-19.2,-17.97,-16.65,-15.29,-13.86,-12.37,-10.81,-9.18,-7.46,-5.71,-3.85,-1.96,0,1.96,3.85,5.71,7.46,9.18,10.81,12.37,13.86,15.29,16.65,17.97,19.2,20.38,21.47,22.5,23.46,24.36,25.2,25.97,26.67,27.3,27.87,28.37,28.8,29.16,29.47,29.7,29.87,29.97,30,29.97,29.87,29.7,29.47,29.16,28.8,28.37,27.87,27.3,26.67,25.97,25.2,24.36,23.46,22.5,21.47,20.38,19.2,17.97,16.65,15.29,13.86,12.37,10.81,9.18,7.46,5.71,3.85,1.96
FACE_Y=30,29.97,29.87,29.7,29.47,29.16,28.8,28.37,27.87,27.3,26.67,25.97,25.2,24.36,23.46,22.5,21.47,20.38,19.2,17.97,16.65,15.29,13.86,12.37,10.81,9.18,7.46,5.71,3.85,1.96,0,-1.96,-3.85,-5.71,-7.46,-9.18,-10.81,-12.37,-13.86,-15.29,-16.65,-17.97,-19.2,-20.38,-21.47,-22.5,-23.46,-24.36,-25.2,-25.97,-26.67,-27.3,-27.87,-28.37,-28.8,-29.16,-29.47,-29.7,-29.87,-29.97,-30,-29.97,-29.87,-29.7,-29.47,-29.16,-28.8,-28.37,-27.87,-27.3,-26.67,-25.97,-25.2,-24.36,-23.46,-22.5,-21.47,-20.38,-19.2,-17.97,-16.65,-15.29,-13.86,-12.37,-10.81,-9.18,-7.46,-5.71,-3.85,-1.96,0,1.96,3.85,5.71,7.46,9.18,10.81,12.37,13.86,15.29,16.65,17.97,19.2,20.38,21.47,22.5,23.46,24.36,25.2,25.97,26.67,27.3,27.87,28.37,28.8,29.16,29.47,29.7,29.87,29.97
EYE_BLOW=0,-1.01,-1.98,-2.93,-3.83,-4.7,-5.53,-6.32,-7.07,-7.79,-8.47,-9.13,-9.74,-10.32,-10.86,-11.37,-11.84,-12.28,-12.69,-13.07,-13.41,-13.71,-13.98,-14.22,-14.43,-14.6,-14.75,-14.86,-14.94,-14.98,-15,-14.984,-14.94,-14.86,-14.75,-14.6,-14.43,-14.22,-13.98,-13.71,-13.41,-13.07,-12.69,-12.28,-11.84,-11.37,-10.86,-10.32,-9.74,-9.13,-8.47,-7.79,-7.07,-6.32,-5.53,-4.7,-3.83,-2.93,-1.98,-1.01,0,1.01,1.99,2.96,3.88,4.78,5.63,6.45,7.25,8,8.73,9.43,10.09,10.72,11.31,11.87,12.39,12.88,13.34,13.76,14.15,14.5,14.81,15.09,15.33,15.53,15.7,15.83,15.93,15.98,16,15.981,15.93,15.83,15.7,15.53,15.33,15.09,14.81,14.5,14.15,13.76,13.34,12.88,12.39,11.87,11.31,10.72,10.09,9.43,8.73,8,7.25,6.45,5.63,4.78,3.88,2.96,1.99,1.01
EYE_BLINK=-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-29.67,-28.29,-25.58,-21.28,-15,-0.58,11.7,21.32,27.66,30,30,30,30,25.61,17.28,7.27,-3.6,-15,-25.07,-29.16,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
TEAR=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.09,3.99,5.96,7.71,9.09,10,10.86,11.73,12.58,13.44,14.29,15.14,15.96,16.79,17.59,18.38,19.13,19.88,20.59,21.28,21.92,22.54,23.12,23.66,24.14,24.6,25,25.38,25.74,26.08,26.4,26.7,26.99,27.26,27.52,27.75,27.98,28.18,28.38,28.56,28.72,28.88,29.02,29.15,29.26,29.37,29.47,29.55,29.63,29.7,29.76,29.81,29.86,29.89,29.92,29.95,29.968,29.983,29.993,29.998,30,-30,-29.95,-29.8,-29.56,-29.24,-28.82,-28.33,-27.78,-27.15,-26.46,-25.7,-24.91,-24.06,-23.15,-22.22,-21.26,-20.26,-19.23,-18.19,-17.15,-16.08,-15,-13.92,-12.85,-11.81,-10.77,-9.74,-8.74,-7.78,-6.85,-5.94,-5.09,-4.3,-3.54,-2.85,-2.22,-1.67,-1.18,-0.76,-0.44,-0.2,-0.05
HAIR_FF=0,1.16,2.27,3.37,4.43,5.45,6.43,7.38,8.28,9.14,9.95,10.7,11.43,12.09,12.71,13.27,13.79,14.25,14.66,15.01,15.32,15.56,15.75,15.89,15.97,16,15.97,15.89,15.76,15.58,15.36,15.08,14.77,14.41,14.02,13.59,13.13,12.62,12.09,11.53,10.95,10.34,9.7,9.04,8.36,7.65,6.94,6.21,5.46,4.7,3.93,3.16,2.38,1.59,0.79,0,-0.8,-1.59,-2.38,-3.17,-3.96,-4.72,-5.48,-6.24,-6.99,-7.71,-8.42,-9.12,-9.79,-10.44,-11.08,-11.69,-12.27,-12.83,-13.36,-13.87,-14.33,-14.77,-15.17,-15.54,-15.87,-16.16,-16.41,-16.62,-16.78,-16.9,-16.98,-17,-16.987,-16.95,-16.88,-16.79,-16.67,-16.52,-16.34,-16.14,-15.9,-15.64,-15.34,-15.01,-14.65,-14.26,-13.83,-13.37,-12.88,-12.36,-11.8,-11.2,-10.57,-9.9,-9.19,-8.44,-7.66,-6.84,-5.99,-5.09,-4.15,-3.18,-2.16,-1.1
HAIR_FL=0,-1.17,-2.26,-3.32,-4.33,-5.28,-6.17,-7.03,-7.82,-8.56,-9.26,-9.89,-10.49,-11.03,-11.52,-11.97,-12.37,-12.72,-13.03,-13.29,-13.51,-13.69,-13.83,-13.92,-13.98,-14,-13.97,-13.89,-13.76,-13.58,-13.36,-13.08,-12.77,-12.41,-12.02,-11.59,-11.13,-10.62,-10.09,-9.53,-8.95,-8.34,-7.7,-7.04,-6.36,-5.65,-4.94,-4.21,-3.46,-2.7,-1.93,-1.16,-0.38,0.41,1.21,2,2.8,3.59,4.38,5.17,5.96,6.72,7.48,8.24,8.99,9.71,10.42,11.12,11.79,12.44,13.08,13.69,14.27,14.83,15.36,15.87,16.33,16.77,17.17,17.54,17.87,18.16,18.41,18.62,18.78,18.9,18.98,19,18.982,18.93,18.84,18.72,18.56,18.36,18.13,17.87,17.56,17.23,16.85,16.45,16.01,15.53,15.02,14.48,13.9,13.29,12.64,11.96,11.24,10.49,9.7,8.88,8.03,7.14,6.22,5.27,4.28,3.26,2.21,1.12
